

変数情報			
変数	位置	ラベル	欠損値
h11_s_2	0	回答なし
	1	回答あり
h11_s_3	0	回答なし
	1	回答あり
h11_s_4	0	回答なし
	1	回答あり
h11_s_5	0	回答なし
	1	回答あり
h12	0	収入はない
	1	5万円未満
	2	5～10万円未満
	3	10～15万円未満
	4	15～20万円未満
	5	20～25万円未満
	6	25～30万円未満
	7	30～35万円未満
	8	35～40万円未満
	9	40～45万円未満
	10	45～50万円未満
	11	50～55万円未満
	12	55～60万円未満
	13	60～65万円未満
	14	65万円以上
h12_s1	1	ある
	2	ない
h12_s2	1	定期的な収入あり
	2	定期的な収入なし
h13	1	1割に満たない
	2	約1割
	3	約2割
	4	約3割
	5	約4割
	6	約5割
	7	約6割
	8	約7割
	9	約8割
	10	約9割
	11	妻の収入を知らない
h13_s1	1	約1割
	2	約2割
	3	約3割
	4	約4割
	5	約5割
	6	約6割
	7	約7割
	8	約8割
	9	約9割
	10	すべて
h13_s2	1	なし
	2	約1割
	3	約2割
	4	約3割
	5	約4割
	6	約5割
	7	約6割
	8	約7割
	9	約8割
	10	約9割
	11	すべて
h13_s3	1	私
	2	妻
	3	二人で相談して
h13_s4	1	共同のサイフあり　夫妻とも一部繰り入れ
	2	共同のサイフなし　妻管理
	3	共同のサイフなし　費用を分担
	4	共同のサイフなし　夫管理
	5	その他
h13_s5	1	約1割
	2	約2割
	3	約3割
	4	約4割
	5	約5割
	6	約6割
	7	約7割
	8	約8割
	9	約9割
	10	すべて
h13_s6	1	夫自身
	2	妻
	3	二人で相談して
h13_s7	1	主に夫
	2	主に妻
	3	妻と二人で
	4	どちらも管理していない
h13_s8	1	約1割
	2	約2割
	3	約3割
	4	約4割
	5	約5割
	6	約6割
	7	約7割
	8	約8割
	9	約9割
	10	すべて
h13_s9	1	約1割
	2	約2割
	3	約3割
	4	約4割
	5	約5割
	6	約6割
	7	約7割
	8	約8割
	9	約9割
	10	すべて
h13_s10	1	はい
	2	いいえ
	3	どちらともいえない
h13_s11	1	夫が希望
	2	妻が希望
	3	自然に
h14	1	全く渡さない
	2	約1割
	3	約2割
	4	約3割
	5	約4割
	6	約5割
	7	約6割
	8	約7割
	9	約8割
	10	約9割
	11	すべて
h14_s1	1	はい
	2	いいえ
	3	どちらともいえない
h14_s2	1	夫が希望
	2	妻が希望
	3	自然に
h14_s3	1	なし
	2	約1割
	3	約2割
	4	約3割
	5	約4割
	6	約5割
	7	約6割
	8	約7割
	9	約8割
	10	約9割
	11	すべて
h14_s4	1	なし
	2	約1割
	3	約2割
	4	約3割
	5	約4割
	6	約5割
	7	約6割
	8	約7割
	9	約8割
	10	約9割
	11	すべて
h14_s5	1	妻
	2	夫
	3	二人で相談して
h15	1	満足
	2	まあ満足
	3	やや不満
	4	不満
	5	どちらともいえない
	6	わからない
h16	1	よくある
	2	時々ある
	3	たまにある
	4	まったくない
h17	1	ゆとりがある
	2	まあゆとりがある
	3	やや苦しい
	4	とても苦しい
	5	わからない
h18	1	私の収入は私のもの、妻の収入は夫のもの
	2	私の収入は私のもの、妻の収入は夫婦のもの
	3	私の収入は夫婦のもの、妻の収入は妻のもの
	4	私の収入も、妻の収入も夫婦のもの
	5	その他
	6	家族のもの
h22	1	500万円未満
	2	500～1000万円未満
	3	1000～3000万円未満
	4	3000～5000万円未満
	5	5000万円以上
	6	夫妻ともに資産はない
h24	0	資産なし
	1	妻に相談せず自由に使えるし、事後報告もなし
	2	妻に相談せず自由に使えるが、事後報告は必要
	3	妻に相談するが、妻が多少反対しても使える
	4	妻に相談して、妻が賛成すれば使える
	5	まったく使えない
	6	夫が無関心なので、妻が配慮
	7	その他
h25	0	資産なし
	1	夫に相談せず自由に使えるし、事後報告もなし
	2	夫に相談せず自由に使えるが、事後報告は必要
	3	夫に相談するが、夫が多少反対しても使える
	4	夫に相談して、夫が賛成すれば使える
	5	まったく使えない
	6	妻が無関心なので、夫が配慮
	7	その他
h27	1	名義は実質的な意味
	2	名義は形式的
h28	1	ほとんど毎日自宅で食べる
	2	外食より自宅で食べることが多い
	3	自宅と外食半々ぐらい
	4	自宅より外食の方が多い
	5	ほとんど毎日外食
	6	朝食は食べない
h28_s1	1	夫婦と子ども
	2	夫婦二人
	3	夫と子ども
	4	夫一人だけ
h29	1	ほとんど毎日自宅で食べる
	2	外食より自宅で食べることが多い
	3	自宅と外食半々ぐらい
	4	自宅より外食の方が多い
	5	ほとんど毎日外食
h29_s1	1	夫婦と子ども
	2	夫婦二人
	3	夫と子ども
	4	夫一人だけ
h30	1	よく話す
	2	話す
	3	まあ話す
	4	あまり話さない
	5	ほとんど話さない
	6	全く話さない
h30_s1	1	同じぐらいしゃべり、相手の話を聞く
	2	妻が一方的に話し、夫は聞いている
	3	夫が一方的に話し、妻は聞いている
	4	意見が対立し、ぎくしゃくする
h31	1	もっと増やしたい
	2	今のままでよい
	3	もっと少なくてよい
h32	1	機器・アドレスをもっていない
	2	ほとんど受信しない
	3	1週間に1通程度
	4	3，4日で1通程度
	5	1日1通程度
	6	1日2～9通
	7	1日10～19通
	8	1日20通以上
h33	1	機器・アドレスをもっていない
	2	ほとんど受信しない
	3	1週間に1通程度
	4	3，4日で1通程度
	5	1日1通程度
	6	1日2～9通
	7	1日10～19通
	8	1日20通以上
h34a	1	毎週のように
	2	月に2，3回
	3	月に1回くらい
	4	2，3ヶ月に1回
	5	ほとんどでかけない
	6	子どもはいない
h34b	1	毎週のように
	2	月に2，3回
	3	月に1回くらい
	4	2，3ヶ月に1回
	5	ほとんどでかけない
	6	子どもはいない
h34c	1	毎週のように
	2	月に2，3回
	3	月に1回くらい
	4	2，3ヶ月に1回
	5	ほとんどでかけない
	6	子どもはいない
h34d	1	毎週のように
	2	月に2，3回
	3	月に1回くらい
	4	2，3ヶ月に1回
	5	ほとんどでかけない
	6	子どもはいない
h35a	1	毎週のように
	2	月に2，3回
	3	月に1回くらい
	4	2，3ヶ月に1回
	5	ほとんどでかけない
	6	子どもはいない
h35b	1	毎週のように
	2	月に2，3回
	3	月に1回くらい
	4	2，3ヶ月に1回
	5	ほとんどでかけない
	6	子どもはいない
h35c	1	毎週のように
	2	月に2，3回
	3	月に1回くらい
	4	2，3ヶ月に1回
	5	ほとんどでかけない
	6	子どもはいない
h35d	1	毎週のように
	2	月に2，3回
	3	月に1回くらい
	4	2，3ヶ月に1回
	5	ほとんどでかけない
	6	子どもはいない
h36	1	一緒に家に居てほしい
	2	一緒に外出してほしい
	3	家で留守番してほしい
	4	外出してほしい
	5	妻の自由
h37a	1	ほぼ毎日
	2	週に４、5日
	3	週に2、3日
	4	週に1日くらい
	5	月に2、3回
	6	まったくしない
h37b	1	ほぼ毎日
	2	週に４、5日
	3	週に2、3日
	4	週に1日くらい
	5	月に2、3回
	6	まったくしない
h37c	1	ほぼ毎日
	2	週に４、5日
	3	週に2、3日
	4	週に1日くらい
	5	月に2、3回
	6	まったくしない
h37d	1	ほぼ毎日
	2	週に４、5日
	3	週に2、3日
	4	週に1日くらい
	5	月に2、3回
	6	まったくしない
h37e	1	ほぼ毎日
	2	週に４、5日
	3	週に2、3日
	4	週に1日くらい
	5	月に2、3回
	6	まったくしない
	7	子どもはいない
h40_1a	0	義母
	1	自分の親
	2	きょうだい
	3	それ以外の親族
	4	同僚・仕事関係
	5	近所の人
	6	それ以外の友人
	7	その他
h40_1b	1	男性
	2	女性
h40_1c	1	はい
	2	いいえ
	3	わからない
h40_1d	1	はい
	2	いいえ
h40_1e	1	はい
	2	いいえ
h40_1f	1	はい
	2	いいえ
h40_1g	1	はい
	2	いいえ
	3	わからない
h40_1h	1	はい
	2	いいえ
	3	わからない
h40_2a	0	義母
	1	自分の親
	2	きょうだい
	3	それ以外の親族
	4	同僚・仕事関係
	5	近所の人
	6	それ以外の友人
	7	その他
h40_2b	1	男性
	2	女性
h40_2c	1	はい
	2	いいえ
	3	わからない
h40_2d	1	はい
	2	いいえ
h40_2e	1	はい
	2	いいえ
h40_2f	1	はい
	2	いいえ
h40_2g	1	はい
	2	いいえ
	3	わからない
h40_2h	1	はい
	2	いいえ
	3	わからない
h40_3a	0	義母
	1	自分の親
	2	きょうだい
	3	それ以外の親族
	4	同僚・仕事関係
	5	近所の人
	6	それ以外の友人
	7	その他
h40_3b	1	男性
	2	女性
h40_3c	1	はい
	2	いいえ
	3	わからない
h40_3d	1	はい
	2	いいえ
h40_3e	1	はい
	2	いいえ
h40_3f	1	はい
	2	いいえ
h40_3g	1	はい
	2	いいえ
	3	わからない
h40_3h	1	はい
	2	いいえ
	3	わからない
h40_4a	0	義母
	1	自分の親
	2	きょうだい
	3	それ以外の親族
	4	同僚・仕事関係
	5	近所の人
	6	それ以外の友人
	7	その他
h40_4b	1	男性
	2	女性
h40_4c	1	はい
	2	いいえ
	3	わからない
h40_4d	1	はい
	2	いいえ
h40_4e	1	はい
	2	いいえ
h40_4f	1	はい
	2	いいえ
h40_4g	1	はい
	2	いいえ
	3	わからない
h40_4h	1	はい
	2	いいえ
	3	わからない
h40_s1	1	互いに親しい
	2	互いに面識はある
	3	互いに面識はない
h40_s2	1	互いに親しい
	2	互いに面識はある
	3	互いに面識はない
h40_s3	1	互いに親しい
	2	互いに面識はある
	3	互いに面識はない
h40_s4	1	互いに親しい
	2	互いに面識はある
	3	互いに面識はない
h40_s5	1	互いに親しい
	2	互いに面識はある
	3	互いに面識はない
h40_s6	1	互いに親しい
	2	互いに面識はある
	3	互いに面識はない
h41	1	機器・アドレスをもっていない
	2	ほとんど受信しない
	3	1週間に1通程度
	4	3，4日で1通程度
	5	1日1通程度
	6	1日2～9通
	7	1日10～19通
	8	1日20通以上
h42	1	機器・アドレスをもっていない
	2	ほとんど受信しない
	3	1週間に1通程度
	4	3，4日で1通程度
	5	1日1通程度
	6	1日2～9通
	7	1日10～19通
	8	1日20通以上
h43a	1	30分以内
	2	30分～2時間以内
	3	2時間以上
	4	いない・亡くなった
h43b	1	30分以内
	2	30分～2時間以内
	3	2時間以上
	4	いない・亡くなった
h44a	1	週に3回以上
	2	週に1回以上
	3	月に1回以上
	4	年4回以上
	5	年1回以上
	6	全くなかった
	7	いない・亡くなった
h44b	1	週に3回以上
	2	週に1回以上
	3	月に1回以上
	4	年4回以上
	5	年1回以上
	6	全くなかった
	7	いない・亡くなった
h44c	1	週に3回以上
	2	週に1回以上
	3	月に1回以上
	4	年4回以上
	5	年1回以上
	6	全くなかった
	7	いない・亡くなった
h44d	1	週に3回以上
	2	週に1回以上
	3	月に1回以上
	4	年4回以上
	5	年1回以上
	6	全くなかった
	7	いない・亡くなった
h45a	1	何度もあった
	2	ときどきあった
	3	ごくまれにあった
	4	まったくなかった
	5	該当しない
h45b	1	何度もあった
	2	ときどきあった
	3	ごくまれにあった
	4	まったくなかった
h45c	1	何度もあった
	2	ときどきあった
	3	ごくまれにあった
	4	まったくなかった
	5	該当しない
h45d	1	何度もあった
	2	ときどきあった
	3	ごくまれにあった
	4	まったくなかった
h45e	1	何度もあった
	2	ときどきあった
	3	ごくまれにあった
	4	まったくなかった
h45f	1	何度もあった
	2	ときどきあった
	3	ごくまれにあった
	4	まったくなかった
h45g	1	何度もあった
	2	ときどきあった
	3	ごくまれにあった
	4	まったくなかった
	5	該当しない
h45h	1	何度もあった
	2	ときどきあった
	3	ごくまれにあった
	4	まったくなかった
	5	該当しない
h45i	1	何度もあった
	2	ときどきあった
	3	ごくまれにあった
	4	まったくなかった
	5	該当しない
h45j	1	何度もあった
	2	ときどきあった
	3	ごくまれにあった
	4	まったくなかった
	5	該当しない
h46a	1	賛成
	2	まあ賛成
	3	やや反対
	4	反対
h46b	1	賛成
	2	まあ賛成
	3	やや反対
	4	反対
h46c	1	賛成
	2	まあ賛成
	3	やや反対
	4	反対
h46d	1	賛成
	2	まあ賛成
	3	やや反対
	4	反対
h46e	1	賛成
	2	まあ賛成
	3	やや反対
	4	反対
h46f	1	賛成
	2	まあ賛成
	3	やや反対
	4	反対
h47a	1	あてはまる
	2	まああてはまる
	3	あまりあてはまらない
	4	あてはまらない
h47b	1	あてはまる
	2	まああてはまる
	3	あまりあてはまらない
	4	あてはまらない
h47c	1	あてはまる
	2	まああてはまる
	3	あまりあてはまらない
	4	あてはまらない
h47d	1	あてはまる
	2	まああてはまる
	3	あまりあてはまらない
	4	あてはまらない
h47e	1	あてはまる
	2	まああてはまる
	3	あまりあてはまらない
	4	あてはまらない
h47f	1	あてはまる
	2	まああてはまる
	3	あまりあてはまらない
	4	あてはまらない
h47g	1	あてはまる
	2	まああてはまる
	3	あまりあてはまらない
	4	あてはまらない
h47h	1	あてはまる
	2	まああてはまる
	3	あまりあてはまらない
	4	あてはまらない
h47i	1	あてはまる
	2	まああてはまる
	3	あまりあてはまらない
	4	あてはまらない
h47j	1	あてはまる
	2	まああてはまる
	3	あまりあてはまらない
	4	あてはまらない
h48a	1	あてはまる
	2	まああてはまる
	3	あまりあてはまらない
	4	あてはまらない
h48b	1	あてはまる
	2	まああてはまる
	3	あまりあてはまらない
	4	あてはまらない
h48c	1	あてはまる
	2	まああてはまる
	3	あまりあてはまらない
	4	あてはまらない
h48d	1	あてはまる
	2	まああてはまる
	3	あまりあてはまらない
	4	あてはまらない
h48e	1	あてはまる
	2	まああてはまる
	3	あまりあてはまらない
	4	あてはまらない
h48f	1	あてはまる
	2	まああてはまる
	3	あまりあてはまらない
	4	あてはまらない
h48g	1	あてはまる
	2	まああてはまる
	3	あまりあてはまらない
	4	あてはまらない
h49	1	満足
	2	まあ満足
	3	やや不満
	4	不満
	5	どちらともいえない
	6	わからない
h50	1	期待以上
	2	期待どおり
	3	まあ期待どおり
	4	やや期待はずれ
	5	期待はずれ
h51a	1	まったくなかった
	2	週に1～2日
	3	週に3～4日
	4	ほとんど毎日
h51b	1	まったくなかった
	2	週に1～2日
	3	週に3～4日
	4	ほとんど毎日
h51c	1	まったくなかった
	2	週に1～2日
	3	週に3～4日
	4	ほとんど毎日
h51d	1	まったくなかった
	2	週に1～2日
	3	週に3～4日
	4	ほとんど毎日
h51e	1	まったくなかった
	2	週に1～2日
	3	週に3～4日
	4	ほとんど毎日
h51f	1	まったくなかった
	2	週に1～2日
	3	週に3～4日
	4	ほとんど毎日
h51g	1	まったくなかった
	2	週に1～2日
	3	週に3～4日
	4	ほとんど毎日
h51h	1	まったくなかった
	2	週に1～2日
	3	週に3～4日
	4	ほとんど毎日
h51i	1	まったくなかった
	2	週に1～2日
	3	週に3～4日
	4	ほとんど毎日
h51j	1	まったくなかった
	2	週に1～2日
	3	週に3～4日
	4	ほとんど毎日
h51k	1	まったくなかった
	2	週に1～2日
	3	週に3～4日
	4	ほとんど毎日
h51l	1	まったくなかった
	2	週に1～2日
	3	週に3～4日
	4	ほとんど毎日
h52_1	0	回答なし
	1	回答あり
h52_2	0	回答なし
	1	回答あり
h52_3	0	回答なし
	1	回答あり
h52_4	0	回答なし
	1	回答あり
h52_5	0	回答なし
	1	回答あり
h52_6	0	回答なし
	1	回答あり
h53	1	よく話す
	2	話す
	3	まあ話す
	4	あまり話さない
	5	ほとんど話さない
	6	全く話さない
h53_s1	1	相互同等
	2	母親優位
	3	子ども優位
	4	対立
h54	1	もっと増やしたい
	2	今のままでよい
	3	もっと少なくてよい
h55	1	機器・アドレスをもっていない
	2	ほとんど受信しない
	3	1週間に1通程度
	4	3，4日で1通程度
	5	1日1通程度
	6	1日2～9通
	7	1日10～19通
	8	1日20通以上
h56	1	機器・アドレスをもっていない
	2	ほとんど受信しない
	3	1週間に1通程度
	4	3，4日で1通程度
	5	1日1通程度
	6	1日2～9通
	7	1日10～19通
	8	1日20通以上
h57a	1	ほぼ毎日
	2	週に４、5日
	3	週に2、3日
	4	週に1日くらい
	5	月に2、3日
	6	ほとんどしない
	7	まったくしない
h57b	1	ほぼ毎日
	2	週に４、5日
	3	週に2、3日
	4	週に1日くらい
	5	月に2、3日
	6	ほとんどしない
	7	まったくしない
h57c	1	ほぼ毎日
	2	週に４、5日
	3	週に2、3日
	4	週に1日くらい
	5	月に2、3日
	6	ほとんどしない
	7	まったくしない
h57d	1	ほぼ毎日
	2	週に４、5日
	3	週に2、3日
	4	週に1日くらい
	5	月に2、3日
	6	ほとんどしない
	7	まったくしない
h57e	1	ほぼ毎日
	2	週に４、5日
	3	週に2、3日
	4	週に1日くらい
	5	月に2、3日
	6	ほとんどしない
	7	まったくしない
	8	世話をすべききょうだいはいない
h58a	1	あてはまる
	2	まああてはまる
	3	あまりあてはまらない
	4	あてはまらない
h58b	1	あてはまる
	2	まああてはまる
	3	あまりあてはまらない
	4	あてはまらない
h58c	1	あてはまる
	2	まああてはまる
	3	あまりあてはまらない
	4	あてはまらない
h58d	1	あてはまる
	2	まああてはまる
	3	あまりあてはまらない
	4	あてはまらない
h58e	1	あてはまる
	2	まああてはまる
	3	あまりあてはまらない
	4	あてはまらない
h58f	1	あてはまる
	2	まああてはまる
	3	あまりあてはまらない
	4	あてはまらない
h58g	1	あてはまる
	2	まああてはまる
	3	あまりあてはまらない
	4	あてはまらない
h59	1	満足
	2	まあ満足
	3	やや不満
	4	不満
	5	どちらともいえない
	6	わからない
h60	1	満足
	2	まあ満足
	3	やや不満
	4	不満
	5	どちらともいえない
	6	わからない
h61	1	仕事を優先
	2	どちらかといえば仕事
	3	どちらともいえない
	4	どちらかといえば家庭
	5	家庭を優先
h62	1	十分取れている
	2	まあ取れている
	3	あまり取れていない
	4	まったく取れていない
h63	1	中学卒業･高校中退
	2	中卒・高校中退後、専門学校
	3	高卒
	4	高卒後、専門学校
	5	短大・高専
	6	短大・高専卒後、専門
	7	大学
	8	大卒後、専門
	9	大学院
	10	その他
h64	1	ない
	2	ある
h64_s1	1	離別あり
	2	死別あり
	3	離死別両方あり
h66_1	0	回答なし
	1	回答あり
h66_2	0	回答なし
	1	回答あり
h66_3	0	回答なし
	1	回答あり
h66_4	0	回答なし
	1	回答あり
h67	0	回答なし
	1	回答あり
tiiki	1	センターコア
	2	23区東北部
	3	多摩東部
	4	23区西南部
	5	川崎市
	6	横浜市
	7	千葉葛南
	8	千葉東葛飾
	9	埼玉東中部
	10	埼玉西部

