
変数情報		
変数	位置	ラベル
c1mrst11	846	w3-問２０．健在の１番上の１８歳以上のお子さん（ケ）結婚
c1cnot11	847	w3-問２０．健在の１番上の１８歳以上のお子さん（コ）子供の有無（いない）
c1cl0511	848	w3-問２０．健在の１番上の１８歳以上のお子さん（コ）子供の有無（0-5歳）
c1cl1711	849	w3-問２０．健在の１番上の１８歳以上のお子さん（コ）子供の有無（6-17歳）
c1cg1811	850	w3-問２０．健在の１番上の１８歳以上のお子さん（コ）子供の有無（18歳以上）
c1cvy11	851	w3-問２０．健在の１番上の１８歳以上のお子さん（サ）この１年間に、この方と「話らしい話」をどのくらいしましたか
c1rsmo11	852	w3-問２０．健在の１番上の１８歳以上のお子さん（シ）この１年間に、この方から金銭的な援助を受けましたか
c1rsad11	853	w3-問２０．健在の１番上の１８歳以上のお子さん（ス）この１年間に、この方に相談にのってもらうことはありましたか
c1rshe11	854	w3-問２０．健在の１番上の１８歳以上のお子さん（セ）この１年間に、この方に看病や家事などの手伝いをしてもらうことはありましたか
c1psmo11	855	w3-問２０．健在の１番上の１８歳以上のお子さん（ソ）この１年間に、この方に金銭的な援助をしましたか
c1psad11	856	w3-問２０．健在の１番上の１８歳以上のお子さん（タ）この１年間に、この方の相談相手になることはありましたか
c1pshe11	857	w3-問２０．健在の１番上の１８歳以上のお子さん（チ）この１年間に、この方の看病や家事・育児などの手伝いをしたことはありましたか
c2sex11	858	w3-問２０．健在の２番目のお子さん（ア）性別
c2plc11	859	w3-問２０．健在の２番目のお子さん（イ）居住場所
c2play11	860	w3-問２０．健在の２番目のお子さん（ウ）ふだん、この方と一緒に遊ぶことは、どのくらいありますか
c2tch11	861	w3-問２０．健在の２番目のお子さん（エ）ふだん、この方に知識や技能を教えることはありますか
c2dnr11	862	w3-問２０．健在の２番目のお子さん（オ）ふだん、この方と一緒に夕食をとることはありますか
c2age11	863	w3-問２０．健在の２番目のお子さん（カ）この方の年齢は何歳ですか
c2lt1811	864	w3-問２０．健在の２番目のお子さん（キ）この方は１８歳未満ですか、１８歳以上ですか
c2hvjb11	865	w3-問２０．健在の２番目の１８歳以上のお子さん（ク）仕事の有無
c2mrst11	866	w3-問２０．健在の２番目の１８歳以上のお子さん（ケ）結婚
c2cnot11	867	w3-問２０．健在の２番目の１８歳以上のお子さん（コ）子供の有無（いない）
c2cl0511	868	w3-問２０．健在の２番目の１８歳以上のお子さん（コ）子供の有無（0-5歳）
c2cl1711	869	w3-問２０．健在の２番目の１８歳以上のお子さん（コ）子供の有無（6-17歳）
c2cg1811	870	w3-問２０．健在の２番目の１８歳以上のお子さん（コ）子供の有無（18歳以上）
c2cvy11	871	w3-問２０．健在の２番目の１８歳以上のお子さん（サ）この１年間に、この方と「話らしい話」をどのくらいしましたか
c2rsmo11	872	w3-問２０．健在の２番目の１８歳以上のお子さん（シ）この１年間に、この方から金銭的な援助を受けましたか
c2rsad11	873	w3-問２０．健在の２番目の１８歳以上のお子さん（ス）この１年間に、この方に相談にのってもらうことはありましたか
c2rshe11	874	w3-問２０．健在の２番目の１８歳以上のお子さん（セ）この１年間に、この方に看病や家事などの手伝いをしてもらうことはありましたか
c2psmo11	875	w3-問２０．健在の２番目の１８歳以上のお子さん（ソ）この１年間に、この方に金銭的な援助をしましたか
c2psad11	876	w3-問２０．健在の２番目の１８歳以上のお子さん（タ）この１年間に、この方の相談相手になることはありましたか
c2pshe11	877	w3-問２０．健在の２番目の１８歳以上のお子さん（チ）この１年間に、この方の看病や家事・育児などの手伝いをしたことはありましたか
c3sex11	878	w3-問２０．健在の３番目のお子さん（ア）性別
c3plc11	879	w3-問２０．健在の３番目のお子さん（イ）居住場所
c3play11	880	w3-問２０．健在の３番目のお子さん（ウ）ふだん、この方と一緒に遊ぶことは、どのくらいありますか
c3tch11	881	w3-問２０．健在の３番目のお子さん（エ）ふだん、この方に知識や技能を教えることはありますか
c3dnr11	882	w3-問２０．健在の３番目のお子さん（オ）ふだん、この方と一緒に夕食をとることはありますか
c3age11	883	w3-問２０．健在の３番目のお子さん（カ）この方の年齢は何歳ですか
c3lt1811	884	w3-問２０．健在の３番目のお子さん（キ）この方は１８歳未満ですか、１８歳以上ですか
c3hvjb11	885	w3-問２０．健在の３番目の１８歳以上のお子さん（ク）仕事の有無
c3mrst11	886	w3-問２０．健在の３番目の１８歳以上のお子さん（ケ）結婚
c3cnot11	887	w3-問２０．健在の３番目の１８歳以上のお子さん（コ）子供の有無（いない）
c3cl0511	888	w3-問２０．健在の３番目の１８歳以上のお子さん（コ）子供の有無（0-5歳）
c3cl1711	889	w3-問２０．健在の３番目の１８歳以上のお子さん（コ）子供の有無（6-17歳）
c3cg1811	890	w3-問２０．健在の３番目の１８歳以上のお子さん（コ）子供の有無（18歳以上）
c3cvy11	891	w3-問２０．健在の３番目の１８歳以上のお子さん（サ）この１年間に、この方と「話らしい話」をどのくらいしましたか
c3rsmo11	892	w3-問２０．健在の３番目の１８歳以上のお子さん（シ）この１年間に、この方から金銭的な援助を受けましたか
c3rsad11	893	w3-問２０．健在の３番目の１８歳以上のお子さん（ス）この１年間に、この方に相談にのってもらうことはありましたか
c3rshe11	894	w3-問２０．健在の３番目の１８歳以上のお子さん（セ）この１年間に、この方に看病や家事などの手伝いをしてもらうことはありましたか
c3psmo11	895	w3-問２０．健在の３番目の１８歳以上のお子さん（ソ）この１年間に、この方に金銭的な援助をしましたか
c3psad11	896	w3-問２０．健在の３番目の１８歳以上のお子さん（タ）この１年間に、この方の相談相手になることはありましたか
c3pshe11	897	w3-問２０．健在の３番目の１８歳以上のお子さん（チ）この１年間に、この方の看病や家事・育児などの手伝いをしたことはありましたか
fahlth11	898	w3-問２１．あなたのお父さんの健康状態
mahlth11	899	w3-問２１．あなたのお母さんの健康状態
flhlth11	900	w3-問２１．配偶者のお父さんの健康状態
mlhlth11	901	w3-問２１．配偶者のお母さんの健康状態
hhnlw11	902	w3-問２２．同居人数
hhlwrp11	903	w3-問２３．同居者（自分自身）
hhlwsp11	904	w3-問２３．同居者（自分の配偶者）
hhlwch11	905	w3-問２３．同居者（自分の子ども）
hhlwfa11	906	w3-問２３．同居者（自分の父親）
hhlwma11	907	w3-問２３．同居者（自分の母親）
hhlwfl11	908	w3-問２３．同居者（自分の義父）
hhlwml11	909	w3-問２３．同居者（自分の義母）
hhlwgp11	910	w3-問２３．同居者（自分の祖父母）
hhlwgl11	911	w3-問２３．同居者（配偶者の祖父母）
hhlwsb11	912	w3-問２３．同居者（自分の兄弟姉妹）
hhlwsl11	913	w3-問２３．同居者（配偶者の兄弟姉妹）
hhlwcs11	914	w3-問２３．同居者（自分の子どもの配偶者）
hhlwgc11	915	w3-問２３．同居者（自分の孫）
hhlwo11	916	w3-問２３．同居者（その他）
rpcasp11	917	w3-問２４．頼りにする人や機関（ア）問題を抱えて、落ち込んだり、混乱したとき（配偶者）
rpcapa11	918	w3-問２４．頼りにする人や機関（ア）問題を抱えて、落ち込んだり、混乱したとき（自分の親）
rpcasb11	919	w3-問２４．頼りにする人や機関（ア）問題を抱えて、落ち込んだり、混乱したとき（自分の兄弟姉妹）
rpcach11	920	w3-問２４．頼りにする人や機関（ア）問題を抱えて、落ち込んだり、混乱したとき（自分の子ども）
rpcapl11	921	w3-問２４．頼りにする人や機関（ア）問題を抱えて、落ち込んだり、混乱したとき（配偶者の親）
rpcasl11	922	w3-問２４．頼りにする人や機関（ア）問題を抱えて、落ち込んだり、混乱したとき（配偶者の兄弟姉妹）
rpcacs11	923	w3-問２４．頼りにする人や機関（ア）問題を抱えて、落ち込んだり、混乱したとき（子どもの配偶者）
rpcaor11	924	w3-問２４．頼りにする人や機関（ア）問題を抱えて、落ち込んだり、混乱したとき（その他の親族）
rpcafc11	925	w3-問２４．頼りにする人や機関（ア）問題を抱えて、落ち込んだり、混乱したとき（友人や職場の同僚）
rpcanb11	926	w3-問２４．頼りにする人や機関（ア）問題を抱えて、落ち込んだり、混乱したとき（近所の人）
rpcast11	927	w3-問２４．頼りにする人や機関（ア）問題を抱えて、落ち込んだり、混乱したとき（専門家やサービス機関）
rpcant11	928	w3-問２４．頼りにする人や機関（ア）問題を抱えて、落ち込んだり、混乱したとき（誰もいない）
rpcmsp11	929	w3-問２４．頼りにする人や機関（イ）急いでお金（３０万円程度）を借りなければならないとき（配偶者）
rpcmpa11	930	w3-問２４．頼りにする人や機関（イ）急いでお金（３０万円程度）を借りなければならないとき（自分の親）
rpcmsb11	931	w3-問２４．頼りにする人や機関（イ）急いでお金（３０万円程度）を借りなければならないとき（自分の兄弟姉妹）
rpcmch11	932	w3-問２４．頼りにする人や機関（イ）急いでお金（３０万円程度）を借りなければならないとき（自分の子ども）
rpcmpl11	933	w3-問２４．頼りにする人や機関（イ）急いでお金（３０万円程度）を借りなければならないとき（配偶者の親）
rpcmsl11	934	w3-問２４．頼りにする人や機関（イ）急いでお金（３０万円程度）を借りなければならないとき（配偶者の兄弟姉妹）
rpcmcs11	935	w3-問２４．頼りにする人や機関（イ）急いでお金（３０万円程度）を借りなければならないとき（子どもの配偶者）
rpcmor11	936	w3-問２４．頼りにする人や機関（イ）急いでお金（３０万円程度）を借りなければならないとき（その他の親族）
rpcmfc11	937	w3-問２４．頼りにする人や機関（イ）急いでお金（３０万円程度）を借りなければならないとき（友人や職場の同僚）
rpcmnb11	938	w3-問２４．頼りにする人や機関（イ）急いでお金（３０万円程度）を借りなければならないとき（近所の人）
rpcmst11	939	w3-問２４．頼りにする人や機関（イ）急いでお金（３０万円程度）を借りなければならないとき（専門家やサービス機関）
rpcmnt11	940	w3-問２４．頼りにする人や機関（イ）急いでお金（３０万円程度）を借りなければならないとき（誰もいない）
rpchsp11	941	w3-問２４．頼りにする人や機関（ウ）あなたや家族の誰かが病気や事故で、どうしても人手が必要なとき（配偶者）
rpchpa11	942	w3-問２４．頼りにする人や機関（ウ）あなたや家族の誰かが病気や事故で、どうしても人手が必要なとき（自分の親）
rpchsb11	943	w3-問２４．頼りにする人や機関（ウ）あなたや家族の誰かが病気や事故で、どうしても人手が必要なとき（自分の兄弟姉妹）
rpchch11	944	w3-問２４．頼りにする人や機関（ウ）あなたや家族の誰かが病気や事故で、どうしても人手が必要なとき（自分の子ども）
rpchpl11	945	w3-問２４．頼りにする人や機関（ウ）あなたや家族の誰かが病気や事故で、どうしても人手が必要なとき（配偶者の親）
rpchsl11	946	w3-問２４．頼りにする人や機関（ウ）あなたや家族の誰かが病気や事故で、どうしても人手が必要なとき（配偶者の兄弟姉妹）
rpchcs11	947	w3-問２４．頼りにする人や機関（ウ）あなたや家族の誰かが病気や事故で、どうしても人手が必要なとき（子どもの配偶者）
rpchor11	948	w3-問２４．頼りにする人や機関（ウ）あなたや家族の誰かが病気や事故で、どうしても人手が必要なとき（その他の親族）
rpchfc11	949	w3-問２４．頼りにする人や機関（ウ）あなたや家族の誰かが病気や事故で、どうしても人手が必要なとき（友人や職場の同僚）
rpchnb11	950	w3-問２４．頼りにする人や機関（ウ）あなたや家族の誰かが病気や事故で、どうしても人手が必要なとき（近所の人）
rpchst11	951	w3-問２４．頼りにする人や機関（ウ）あなたや家族の誰かが病気や事故で、どうしても人手が必要なとき（専門家やサービス機関）
rpchnt11	952	w3-問２４．頼りにする人や機関（ウ）あなたや家族の誰かが病気や事故で、どうしても人手が必要なとき（誰もいない）
rpyinc11	953	w3-問２５．本人年収
spyinc11	954	w3-問２５．配偶者年収
hhyinc11	955	w3-問２５．世帯年収
medcmt11	956	w3-問２６．日付（月）
medcdy11	957	w3-問２６．日付（日）
spbtgg_1	958	w3c-問３．配偶者の生年月（元号）
spbtyr_1	959	w3c-問３．配偶者の生年月（年）
spbtmt_1	960	w3c-問３．配偶者の生年月（月）
spbtag_1	961	w3c-問３．配偶者の生年月（歳）
spnlob_1	962	w3c-問４．配偶者の兄（健在）
spndob_1	963	w3c-問４．配偶者の兄（死亡）
spnlos_1	964	w3c-問４．配偶者の姉（健在）
spndos_1	965	w3c-問４．配偶者の姉（死亡）
spnlyb_1	966	w3c-問４．配偶者の弟（健在）
spndyb_1	967	w3c-問４．配偶者の弟（死亡）
spnlys_1	968	w3c-問４．配偶者の妹（健在）
spndys_1	969	w3c-問４．配偶者の妹（死亡）
spexdw_1	970	w3c-問５．結婚相手との離別や死別の経験（配偶者）
spedc_1	971	w3c-問６．配偶者の学歴
spocc_1	972	w3c-問７付問２．配偶者の職種
spfsz_1	973	w3c-問７付問３．配偶者の会社の規模
spcmhr_1	974	w3c-問７付問６．配偶者の通勤時間（時間）
spcmmi_1	975	w3c-問７付問６．配偶者の通勤時間（分）
flbtgg_1	976	w3c-問１３．義父（ア）出生年（元号）
flbtyr_1	977	w3c-問１３．義父（ア）出生年（年）
flsl_1	978	w3c-問１３．義父（イ）健在・死亡の別
mlbtgg_1	979	w3c-問１３．義母（ア）出生年（元号）
mlbtyr_1	980	w3c-問１３．義母（ア）出生年（年）
mlsl_1	981	w3c-問１３．義母（イ）健在・死亡の別
flplc_1	982	w3c-問１４．義父（ア）居住場所
flcvy_1	983	w3c-問１４．義父（イ）この１年間に、この方と「話らしい話」をどのくらいしましたか
flrlt_1	984	w3c-問１４．義父（ウ）この方との関係は、いかがですか
mlplc_1	985	w3c-問１４．義母（ア）居住場所
mlcvy_1	986	w3c-問１４．義母（イ）この１年間に、この方と「話らしい話」をどのくらいしましたか
mlrlt_1	987	w3c-問１４．義母（ウ）この方との関係は、いかがですか
newwed11	988	w3c-wave3新婚票回答フラグ
metpq12	989	w4-調査種別
rppref12	990	w4-県コード
rpctsz12	991	w4-都市規模
rpdid12	992	w4-ＤＩＤ（移動者はw5時点の地域に合わせて変更）
rpsex12	993	w4-問１．性別
rpbtyr12	994	w4-問２．生年月（年）
rpbtmt12	995	w4-問２．生年月（月）
rpage12	996	w4-問２．年齢
rpafm112	997	w4-問３．家族観についての意見（ア）男性は外で働き、女性は家庭を守るべきである
rpafm212	998	w4-問３．家族観についての意見（イ）子どもが３歳くらいまでは、母親は仕事を持たず育児に専念すべきだ
rpafm312	999	w4-問３．家族観についての意見（ウ）家族を（経済的に）養うのは男性の役割だ
rpafm412	1000	w4-問３．家族観についての意見（エ）夫婦は、お互いの同意があれば、入籍しなくてもかまわない
rpafm512	1001	w4-問３．家族観についての意見（オ）結婚しても、必ずしも子どもをもつ必要はない
rpafm612	1002	w4-問３．家族観についての意見（カ）結婚しても、相手に満足できないときは離婚すればよい
rpafm712	1003	w4-問３．家族観についての意見（キ）親が年をとって、自分たちだけでは暮らしていけなくなったら、子どもは親と同居すべきだ
rpafm812	1004	w4-問３．家族観についての意見（ク）年をとって収入がなくなった親を扶養するのは、子どもの責任だ
rpafm912	1005	w4-問３．家族観についての意見（ケ）親が寝たきりなどになった時、子どもが介護するのは当たり前のことだ
rpaeq112	1006	w4-問４．東日本大震災について（ア）家屋や財産などに大きな被害があった
rpaeq212	1007	w4-問４．東日本大震災について（イ）食事や住まいなど、家庭生活の変更を余儀なくされた
rpaeq312	1008	w4-問４．東日本大震災について（ウ）自分や家族の働き方（転職、労働時間の変更など）に影響があった
rpaeq412	1009	w4-問４．東日本大震災について（エ）親族や友人など、身近な人が大きな被害にあった
rpaeq512	1010	w4-問４．東日本大震災について（オ）家族や親族のつながりを、以前よりも大切に感じるようになった
rpaeq612	1011	w4-問４．東日本大震災について（カ）個人的な友人や知人との関係を、以前よりも大切に感じるようになった
rpaeq712	1012	w4-問４．東日本大震災について（キ）地域のつながりを、以前よりも大切に感じるようになった
rpevl112	1013	w4-問５．去年の１～１２月の出来事（引っ越し）
rpevl212	1014	w4-問５．去年の１～１２月の出来事（持ち家を入手）
rpevl312	1015	w4-問５．去年の１～１２月の出来事（自分が定年）
rpevl412	1016	w4-問５．去年の１～１２月の出来事（配偶者が定年）
rpevl512	1017	w4-問５．去年の１～１２月の出来事（子どもができた）
rpevl612	1018	w4-問５．去年の１～１２月の出来事（孫が生まれた）
rpevl712	1019	w4-問５．去年の１～１２月の出来事（離婚）
rpevl812	1020	w4-問５．去年の１～１２月の出来事（死別）
rpevl912	1021	w4-問５．去年の１～１２月の出来事（自分の親が死亡）
rpevla12	1022	w4-問５．去年の１～１２月の出来事（配偶者の親が死亡）
rpevlb12	1023	w4-問５．去年の１～１２月の出来事（子どもが死亡）
rpevlc12	1024	w4-問５．去年の１～１２月の出来事（その他の親族が死亡）
rpevld12	1025	w4-問５．去年の１～１２月の出来事（あてはまるものはない）
rpevln12	1026	w4-問５．去年の１～１２月の出来事＿新しい子どもの人数
rpevc112	1027	w4-問６．今年に入ってからの出来事（引っ越し）
rpevc212	1028	w4-問６．今年に入ってからの出来事（持ち家を入手）
rpevc312	1029	w4-問６．今年に入ってからの出来事（自分が定年）
rpevc412	1030	w4-問６．今年に入ってからの出来事（配偶者が定年）
rpevc512	1031	w4-問６．今年に入ってからの出来事（子どもができた）
rpevc612	1032	w4-問６．今年に入ってからの出来事（孫が生まれた）
rpevc712	1033	w4-問６．今年に入ってからの出来事（離婚）
rpevc812	1034	w4-問６．今年に入ってからの出来事（死別）
rpevc912	1035	w4-問６．今年に入ってからの出来事（自分の親が死亡）
rpevca12	1036	w4-問６．今年に入ってからの出来事（配偶者の親が死亡）
rpevcb12	1037	w4-問６．今年に入ってからの出来事（子どもが死亡）
rpevcc12	1038	w4-問６．今年に入ってからの出来事（その他の親族が死亡）
rpevcd12	1039	w4-問６．今年に入ってからの出来事（あてはまるものはない）
rpevcn12	1040	w4-問６．今年に入ってからの出来事＿新しい子どもの人数
rpevx112	1041	w3-4間 イベント(1)引っ越し（計算値）
rpevx212	1042	w3-4間 イベント(2)持ち家を入手（計算値）
rpevx312	1043	w3-4間 イベント(3)あなたが定年（計算値）
rpevx412	1044	w3-4間 イベント(4)配偶者が定年（計算値）
rpevx512	1045	w3-4間 イベント(5)子どもができた（計算値）
rpevx612	1046	w3-4間 イベント(6)孫が生まれた（計算値）
rpevx712	1047	w3-4間 イベント(7)離婚（計算値）
rpevx812	1048	w3-4間 イベント(8)死別（計算値）
rpevx912	1049	w3-4間 イベント(9)あなたの親が死亡（計算値）
rpevxa12	1050	w3-4間 イベント(10)配偶者の親が死亡（計算値）
rpevxb12	1051	w3-4間 イベント(11)子どもが死亡（計算値）
rpevxc12	1052	w3-4間 イベント(12)その他の親族が死亡（計算値）
rpwkst12	1053	w4-問７．就業状況
rpwkdy12	1054	w4-問７付問１．１ヵ月の労働日数
rpwkhr12	1055	w4-問７付問２．１日の平均労働時間（時間）
rpwkmi12	1056	w4-問７付問２．１日の平均労働時間（分）
rpwlb112	1057	w4-問７付問３．仕事と家族の関係（ア）仕事が原因で家族と一緒にすごす時間が十分とれないでいる
rpwlb212	1058	w4-問７付問３．仕事と家族の関係（イ）家にいても仕事のことが気になってしかたがないことがある
rpwlb312	1059	w4-問７付問３．仕事と家族の関係（ウ）家族のあれやこれやで思うように仕事に時間を配分できない
rpwlb412	1060	w4-問７付問３．仕事と家族の関係（エ）家事や育児で疲れてしまい、仕事をやろうという気持ちになれない
rpcjb12	1061	w4-問７付問４．去年の１月と比べた仕事の変化の有無
rpest12	1062	w4-問７付問５．現在の仕事
rpmrst12	1063	w4-問８．配偶者（つれあい）の有無
spwkst12	1064	w4-問９．配偶者の就業状況_有配偶票・新婚票
spwkdy12	1065	w4-問９付問１．配偶者の１ヶ月の労働日数_有配偶票・新婚票
spwkhr12	1066	w4-問９付問２．配偶者の１日の平均労働時間（時間）_有配偶票・新婚票
spwkmi12	1067	w4-問９付問２．配偶者の１日の平均労働時間（分）_有配偶票・新婚票
spcjb12	1068	w4-問９付問３．配偶者の去年の１月と比べた仕事の変化の有無_有配偶票
spest12	1069	w4-問９付問４．配偶者の現在の仕事_有配偶票・新婚票
sphlth12	1070	w4-問１０．配偶者の健康状態_有配偶票・新婚票
spcvwd12	1071	w4-問１１．配偶者との会話_有配偶票・新婚票（ア）平日
spcvwe12	1072	w4-問１１．配偶者との会話_有配偶票・新婚票（イ）休日
spus112	1073	w4-問１２．夫婦間にあてはまること_有配偶票・新婚票（ア）配偶者は、わたしの心配ごとや悩みごとを聞いてくれる
spus212	1074	w4-問１２．夫婦間にあてはまること_有配偶票・新婚票（イ）配偶者は、わたしの能力や努力を高く評価してくれる
spus312	1075	w4-問１２．夫婦間にあてはまること_有配偶票・新婚票（ウ）配偶者は、わたしに助言やアドバイスをしてくれる
rpmtgg12	1076	w4-問９．結婚時期（元号）_無配偶票
rpmtyr12	1077	w4-問９．結婚時期（年）_無配偶票
rpmtmt12	1078	w4-問９．結婚時期（月）_無配偶票
rpmtag12	1079	w4-問９．結婚時期（歳）_無配偶票
rpmcju12	1080	w4-問１０．結婚後の就業状況（仕事はしていなかった）_無配偶票
rpmcjq12	1081	w4-問１０．結婚後の就業状況（仕事をやめた）_無配偶票
rpmcjb12	1082	w4-問１０．結婚後の就業状況（転職した）_無配偶票
rpmcjw12	1083	w4-問１０．結婚後の就業状況（同じ職場内での変化）_無配偶票
rpmcjn12	1084	w4-問１０．結婚後の就業状況（変化なし）_無配偶票
rpmcjo12	1085	w4-問１０．結婚後の就業状況（その他）_無配偶票
rpwtmr12	1086	w4-問１１．今後の結婚意向_無配偶票
rpcpl12	1087	w4-問１２．交際相手や婚約者の有無_無配偶票
rphhw112	1088	w4-問１３．家事についてあなた（ア）「食事の用意」は
rphhw212	1089	w4-問１３．家事についてあなた（イ）「食事のあとかたづけ」は
rphhw312	1090	w4-問１３．家事についてあなた（ウ）「食料品や日用品の買い物」は
rphhw412	1091	w4-問１３．家事についてあなた（エ）「洗濯」は
rphhw512	1092	w4-問１３．家事についてあなた（オ）「そうじ（部屋、風呂、トイレなど）」は
sphhw112	1093	w4-問１３．家事について配偶者_有配偶票・新婚票（ア）「食事の用意」は
sphhw212	1094	w4-問１３．家事について配偶者_有配偶票・新婚票（イ）「食事のあとかたづけ」は
sphhw312	1095	w4-問１３．家事について配偶者_有配偶票・新婚票（ウ）「食料品や日用品の買い物」は
sphhw412	1096	w4-問１３．家事について配偶者_有配偶票・新婚票（エ）「洗濯」は
sphhw512	1097	w4-問１３．家事について配偶者_有配偶票・新婚票（オ）「そうじ（部屋、風呂、トイレなど）」は
rpsts112	1098	w4-問１４．結婚生活における満足度_有配偶票・新婚票（ア）子どもとの関わりに対する、配偶者の取り組み方について
rpsts212	1099	w4-問１４．結婚生活における満足度_有配偶票・新婚票（イ）家事に対する、配偶者の取り組み方について
rpsts312	1100	w4-問１４．結婚生活における満足度_有配偶票・新婚票（ウ）性生活について
rpsts412	1101	w4-問１４．結婚生活における満足度_有配偶票・新婚票（エ）夫婦関係全体について
rpflw112	1102	w4-問１５．からだや心の状態（ア）ふだんは何でもないことをわずらわしいと感じたこと
rpflw212	1103	w4-問１５．からだや心の状態（イ）家族や友達から励ましてもらっても気分が晴れないこと
rpflw312	1104	w4-問１５．からだや心の状態（ウ）憂うつだと感じたこと
rpflw412	1105	w4-問１５．からだや心の状態（エ）物事に集中できなかったこと
rpflw512	1106	w4-問１５．からだや心の状態（オ）食欲が落ちたこと
rpflw612	1107	w4-問１５．からだや心の状態（カ）何をするのも面倒と感じたこと
rpflw712	1108	w4-問１５．からだや心の状態（キ）何か恐ろしい気持がしたこと
rpflw812	1109	w4-問１５．からだや心の状態（ク）なかなか眠れなかったこと
rpflw912	1110	w4-問１５．からだや心の状態（ケ）ふだんより口数が少なくなったこと
rpflwa12	1111	w4-問１５．からだや心の状態（コ）一人ぼっちで寂しいと感じたこと
rpflwb12	1112	w4-問１５．からだや心の状態（サ）「毎日が楽しい」と感じたこと
rpflwc12	1113	w4-問１５．からだや心の状態（シ）悲しいと感じたこと
rpflf112	1114	w4-問１６．悩みや不安（ア）「自分が家族に理解されていない」と感じたこと
rpflf212	1115	w4-問１６．悩みや不安（イ）家事・育児・介護などでの負担が大きすぎると感じたこと
rpflf312	1116	w4-問１６．悩みや不安（ウ）家計の先行きについて不安を感じたこと
rphlth12	1117	w4-問１７．本人健康状態
rpstlt12	1118	w4-問１８．生活全体満足度
rpnlcd12	1119	w4-問１９．健在の子どもの人数
c1sex12	1120	w4-問２０．健在の１番上のお子さん（ア）性別
c1plc12	1121	w4-問２０．健在の１番上のお子さん（イ）居住場所
c1play12	1122	w4-問２０．健在の１番上のお子さん（ウ）ふだん、この方と一緒に遊ぶことは、どのくらいありますか
c1tch12	1123	w4-問２０．健在の１番上のお子さん（エ）ふだん、この方に知識や技能を教えることはありますか
c1dnr12	1124	w4-問２０．健在の１番上のお子さん（オ）ふだん、この方と一緒に夕食をとることはありますか
c1age12	1125	w4-問２０．健在の１番上のお子さん（カ）この方の年齢は何歳ですか
c1lt1812	1126	w4-問２０．健在の１番上のお子さん（キ）この方は１８歳未満ですか、１８歳以上ですか
c1hvjb12	1127	w4-問２０．健在の１番上の１８歳以上のお子さん（ク）仕事の有無
c1mrst12	1128	w4-問２０．健在の１番上の１８歳以上のお子さん（ケ）結婚
c1cnot12	1129	w4-問２０．健在の１番上の１８歳以上のお子さん（コ）子供の有無（いない）
c1cl0512	1130	w4-問２０．健在の１番上の１８歳以上のお子さん（コ）子供の有無（0-5歳）
c1cl1712	1131	w4-問２０．健在の１番上の１８歳以上のお子さん（コ）子供の有無（6-17歳）
c1cg1812	1132	w4-問２０．健在の１番上の１８歳以上のお子さん（コ）子供の有無（18歳以上）
c1cvy12	1133	w4-問２０．健在の１番上の１８歳以上のお子さん（サ）この１年間に、この方と「話らしい話」をどのくらいしましたか
c1rsmo12	1134	w4-問２０．健在の１番上の１８歳以上のお子さん（シ）この１年間に、この方から金銭的な援助を受けましたか
c1rsad12	1135	w4-問２０．健在の１番上の１８歳以上のお子さん（ス）この１年間に、この方に相談にのってもらうことはありましたか
c1rshe12	1136	w4-問２０．健在の１番上の１８歳以上のお子さん（セ）この１年間に、この方に看病や家事などの手伝いをしてもらうことはありましたか
c1psmo12	1137	w4-問２０．健在の１番上の１８歳以上のお子さん（ソ）この１年間に、この方に金銭的な援助をしましたか
c1psad12	1138	w4-問２０．健在の１番上の１８歳以上のお子さん（タ）この１年間に、この方の相談相手になることはありましたか
c1pshe12	1139	w4-問２０．健在の１番上の１８歳以上のお子さん（チ）この１年間に、この方の看病や家事・育児などの手伝いをしたことはありましたか
c2sex12	1140	w4-問２０．健在の２番目のお子さん（ア）性別
c2plc12	1141	w4-問２０．健在の２番目のお子さん（イ）居住場所
c2play12	1142	w4-問２０．健在の２番目のお子さん（ウ）ふだん、この方と一緒に遊ぶことは、どのくらいありますか
c2tch12	1143	w4-問２０．健在の２番目のお子さん（エ）ふだん、この方に知識や技能を教えることはありますか
c2dnr12	1144	w4-問２０．健在の２番目のお子さん（オ）ふだん、この方と一緒に夕食をとることはありますか
c2age12	1145	w4-問２０．健在の２番目のお子さん（カ）この方の年齢は何歳ですか
c2lt1812	1146	w4-問２０．健在の２番目のお子さん（キ）この方は１８歳未満ですか、１８歳以上ですか
c2hvjb12	1147	w4-問２０．健在の２番目の１８歳以上のお子さん（ク）仕事の有無
c2mrst12	1148	w4-問２０．健在の２番目の１８歳以上のお子さん（ケ）結婚
c2cnot12	1149	w4-問２０．健在の２番上の１８歳以上のお子さん（コ）子供の有無（いない）
c2cl0512	1150	w4-問２０．健在の２番上の１８歳以上のお子さん（コ）子供の有無（0-5歳）
c2cl1712	1151	w4-問２０．健在の２番上の１８歳以上のお子さん（コ）子供の有無（6-17歳）
c2cg1812	1152	w4-問２０．健在の２番上の１８歳以上のお子さん（コ）子供の有無（18歳以上）
c2cvy12	1153	w4-問２０．健在の２番目の１８歳以上のお子さん（サ）この１年間に、この方と「話らしい話」をどのくらいしましたか
c2rsmo12	1154	w4-問２０．健在の２番目の１８歳以上のお子さん（シ）この１年間に、この方から金銭的な援助を受けましたか
